"OBJECTID_1","OBJECTID","NAME","OWNER","TOWN","CLASS","CART_CL","ACRES","TYPE","GlobalID","TAX_ID","TNT_NAME","Nhood","Quad","LUCODE","LandUse","StNum","StName","YEARB","PNUMBR","WARD","SBL","TAX_ID2","TAX_ID3","TAX_ID4","TAX_ID5","TAX_ID6","TAX_ID7","Area_sqmi","Softball","Hardball","Soccer","T","FC","HC","H","HS","RS","Pool","Playground","Fieldhouse","GolfClubho","Bathouse","Pool_Mec","IceRink","Storage","Ball_Bldg","Rink_Bldg","Picnic_S","Greenhouse","Amphitheat","Gazebo","Rec_Bldg","Council_Di","Shape_Leng","Shape_Area","Park_Type"
36,165,"Stone Throwers' Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.03167313,"C","{477B4492-B2C4-4EC0-B39A-73C848703E8B}","31150011000000060320000000","Westside","Tipp Hill","NW","963","Parks","432","TOMPKINS ST & MILTON AVE","1940","0891005800","08","110.-06-32.0",NA,NA,NA,NA,NA,NA,4.94883e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",165.969446339,1379.6492518,"DowntownParks"
37,166,"Pulaski & Kosciusko Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.5193972,"C","{4C404A4D-A4E9-4859-9E37-C4076B0DA2E0}","31150010800200070010010000","Westside","Park Ave.","NW","963","Parks","1423","GENESEE ST W & PARK AVE","0000","0231214800","02","108.2-07-01.1","31150010800200070010020000",NA,NA,NA,NA,NA,0.000811542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",954.579012856,22624.4058067,"Median"
38,167,"Frazer Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",5.69456446,"C","{2DC54F17-A77F-4F87-BEBC-171E0FA4654F}","31150010900000030020000000","Westside","Park Ave.","NW","963","Parks","801-843","PARK AVE TO RICHMOND AVE","1970","0268012900","02","109.-03-02.0",NA,NA,NA,NA,NA,NA,0.00889757,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"2",2345.25747444,248049.054151,"Neighborhood"
39,168,"Leavenworth Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",3.45997106,"C","{3CC6D7D1-0D09-4D59-B82B-FF8D1466EB8D}","31150010500000030010000000","Westside","Park Ave.","NW","963","Parks","301","PARK AVE & MATTY AVE & WI","0000","0268002400","02","105.-03-01.0",NA,NA,NA,NA,NA,NA,0.00540609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"2",1643.17358223,150712.606564,"Neighborhood"
40,169,"Barker Square","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.48331836,"C","{A02463EB-593A-4601-8A20-420D3794D790}","31150010500000060030000000","Westside","Park Ave.","NW","963","Parks","101","WILKINSON ST & TRACY ST &","0000","0296000100","02","105.-06-03.0",NA,NA,NA,NA,NA,NA,0.000755167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",796.740724752,21052.7626286,"PlayLotsFieldsCourts"
41,170,"Armory Square Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.07187399,"C","{FD138406-0CB4-4AA6-AA6F-655BD7FDB4C4}","31150010100000140050010000","Downtown","Downtown","NW","330","Vacant Land","298","JEFFERSON ST W & FRANKLIN",NA,"0944301005","09","101.-14-05.1",NA,NA,NA,NA,NA,NA,0.0001123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",261.486226002,3130.74215802,"DowntownParks"
42,171,"Clinton Square","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",1.45010898,"C","{9424A5A7-C0BA-4FA1-98BD-FD63EBD2889B}","31150010400000150010000000","Downtown","Downtown","NW","963","Parks","99","SALINA ST N & ERIE BLVD W","0000","0979000100","09","104.-15-01.0","31150010400000180010000000",NA,NA,NA,NA,NA,0.00226575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",1017.5027416,63165.1636434,"DowntownParks"
43,172,"City Place","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.12605873,"C","{7E8F3938-A9BB-4C87-9B08-6B97A735C532}",NA,NA,NA,NA,NA,NA,"200","GENESEE ST E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000196962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",477.726930227,5490.96376312,"DowntownParks"
44,173,"Bruce Park","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.03280839,"C","{3DDC1337-D6D9-4191-9C44-E469F4FED897}",NA,NA,NA,NA,NA,NA,NA,"ERIE BLVD E & SALINA ST N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12623e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",175.147638041,1429.10514203,"DowntownParks"
45,174,"Vanderbilt Square","CITY OF SYRACUSE","SYRACUSE","CITY","MINOR",0.13136013,"C","{FE14A7F7-6D97-4505-A25B-8E3BE9923E46}",NA,NA,NA,NA,NA,NA,"100","WASHINGTON ST W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000205244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",634.041382847,5721.83939922,"DowntownParks"
