OBJECTID,OID_,TAX_ID,Shape_Leng,FRONTFEET,DEPTH,ACRES,FFxDAcres,Shape_Acre,TAX_ID_1,SURA,SEIZB,TNT_NAME,Nhood,Quad,LUCODE,LandUse,Units,AmtDelinqu,TOTINT,YrsDelinqu,StNum,StName,Lvalue,Fvalue,CityTaxabl,STARS,STARC,STAR,YEARB,SALES,PNUMBR,WARD,SBL,CountyTXBL,SchoolTXBL,TOTSYR,TOTONO,INTSYR,INTONO,ACTRST,SENIOR_EXE,VET_EXEMPT
360,0,31150010200000130020000000,864.00513984,218.01000000,120.00000000,0.60000000,0.60057851,0.69960270,31150010200000130020000000,N, ,Downtown,Downtown,SE,632,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,236-68,ONONDAGA ST E TO MADISON,523200.00000000,1996900.00000000,0.00000000,0.00000000,0.00000000, ,1975, ,0967101301,09,102.-13-02.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
361,0,31150004700000110010000000,1313.09897240,560.00000000,515.00000000,6.62000000,6.62075298,1.50471145,31150004700000110010000000,Y, ,Eastside,Near Eastside,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,1801,GENESEE ST E & LEXINGTON,655400.00000000,655400.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1731302300,17,047.-11-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
362,0,31150003800000160320000000,3468.16071233,600.00000000,1197.76000000,16.50000000,16.49807163,14.71151835,31150003800000160320000000,N, ,Eastside,Meadowbrook,SE,612,Schools,0.00000000,0.00000000,0.00000000,0.00000000,1100,SALT SPRINGS RD,340000.00000000,6649000.00000000,0.00000000,0.00000000,0.00000000, ,1960, ,1779111205,17,038.-16-32.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
363,0,31150010200000010050000000,368.45978629,107.25000000,65.00000000,0.16000000,0.16003788,0.12273254,31150010200000010050000000,N, ,Downtown,Downtown,SE,633,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,330,MONTGOMERY ST,139100.00000000,1106000.00000000,0.00000000,0.00000000,0.00000000, ,1908, ,0962000500,09,102.-01-05.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
364,0,31150010200000010060000000,854.79516446,79.75000000,199.00000000,0.36000000,0.36433081,0.60659898,31150010200000010060000000,N, ,Downtown,Downtown,SE,543,Recreation,0.00000000,0.00000000,0.00000000,0.00000000,340,MONTGOMERY ST,528500.00000000,1191200.00000000,0.00000000,0.00000000,0.00000000, ,1965, ,0962000600,09,102.-01-06.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
365,0,31150003900000100010000000,556.09926267,146.02000000,132.81000000,0.45000000,0.44520010,0.46928731,31150003900000100010000000,N, ,Eastside,Meadowbrook,SE,511,Recreation,0.00000000,0.00000000,0.00000000,0.00000000,1146-54,SALT SPRINGS RD & DEMONG,30400.00000000,178100.00000000,178100.00000000,178100.00000000,178100.00000000, ,1920, ,1779111300,17,039.-10-01.0,178100.00000000,178100.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
366,0,31150010200000070040000000,1702.24542985,333.14000000,535.24000000,4.09000000,4.09343098,3.66789470,31150010200000070040000000,N, ,Downtown,Downtown,SE,670,Community Services,0.00000000,699.61000000,567.79000000,5.00000000,521-699,STATE ST S,3349000.00000000,42000000.00000000,0.00000000,0.00000000,0.00000000, ,1964, ,1586002000,15,102.-07-04.0,0.00000000,0.00000000,507.90000000,191.71000000,77.68000000,490.11000000, , , 
367,0,31150009800200010020010000,7530.32604509,414.50000000,2335.00000000,22.22000000,22.21895087,35.99097641,31150009800200010020010000,N, ,Westside,Tipp Hill,NW,962,Parks,0.00000000,0.00000000,0.00000000,0.00000000,201,COLERIDGE AVE,1611800.00000000,5173000.00000000,0.00000000,0.00000000,0.00000000, ,1984, ,0818200802,08,098.2-01-02.1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
368,0,31150004700000220010000000,5018.67590869,1325.00000000,710.00000000,21.60000000,21.59664830,34.72183913,31150004700000220010000000,N, ,Eastside,Westcott,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,201,OSTROM AVE & MADISON ST,477400.00000000,487000.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1667000505,16,047.-22-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
369,0,31150004800000150010000000,1175.78232863,89.00000000,526.00000000,1.07000000,1.07470156,1.06077865,31150004800000150010000000,N, ,Eastside,University Hill,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,501,FORMAN AVE & GENESEE ST E,283000.00000000,283000.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1529002300,15,048.-15-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
