"","TRACT","YEAR","PER_TOT_FRQ","PER_TOT_VAL","PER_RES_FRQ","PER_RES_VAL","PER_COM_FRQ","PER_COM_VAL","PER_INS_FRQ","PER_INS_VAL"
"109",36.01,2012,22,23761,2,4400,NA,NA,20,19361
"110",36.01,2013,53,406829.99,15,244350,NA,NA,35,141379.99
"111",36.01,2014,35,545212.99,7,54000,1,355000,26,134212.99
"112",36.01,2015,49,408325,15,83500,5,148300,29,176525
"113",36.01,2016,41,198431.36,7,68000,NA,NA,32,116431.36
"114",36.02,2012,52,622315,NA,NA,7,531220,45,91095
"115",36.02,2013,64,1209562,8,48011,4,826600,52,334951
"116",36.02,2014,69,1976776.59,7,183500,6,1093550,53,628876.59
"117",36.02,2015,49,392532.13,11,95920.13,5,107000,32,189462
"118",36.02,2016,53,1317641.69,2,4500,9,745667,40,511474.69
"119",38,2012,31,162831,2,700,NA,NA,28,155131
"120",38,2013,39,336081,6,155474,3,37500,28,137907
"121",38,2014,53,360884.26,18,112920,NA,NA,27,179964.26
"122",38,2015,53,333706,17,188850,1,1,30,60775
"123",38,2016,32,289887.63,8,50600,1,900,21,209487.63
"124",39,2012,63,516687,12,40065,5,344078,44,122544
"125",39,2013,55,166223.8,10,22100,2,15000,40,94503.8
"126",39,2014,63,400810.58,13,61100,NA,NA,45,274385.58
"127",39,2015,45,294725,14,55925,NA,NA,21,60220
"128",39,2016,48,439271.12,3,3100,2,22000,28,196420.12
"129",4,2012,56,181483,7,72500,2,19000,46,89483
"130",4,2013,68,246954,16,81800,3,19700,48,143454
"131",4,2014,72,331385.78,32,145345,3,49000,37,137040.78
"132",4,2015,62,259219,19,76520,4,88696,36,91003
"133",4,2016,46,148348.93,9,32721.93,1,9750,33,93277
